Seed,day,hour,time_minutes,vehicle_id,functional_cargo,depot_cargo
9000,3,9,4920,V0,0,0
9000,3,10,4980,V0,2,0
9000,3,11,5040,V0,8,0
9000,3,12,5100,V0,0,0
9000,3,13,5160,V0,11,0
9000,3,14,5220,V0,1,0
9000,3,15,5280,V0,10,0
9000,3,16,5340,V0,16,0
9000,3,17,5400,V0,13,0
9000,3,18,5460,V0,20,0
9000,3,19,5520,V0,7,0
9000,3,20,5580,V0,7,0
9000,3,21,5640,V0,7,0
9000,3,22,5700,V0,7,0
9000,3,23,5760,V0,7,0
9000,4,0,5820,V0,7,0
9000,4,1,5880,V0,7,0
9000,4,2,5940,V0,7,0
9000,4,3,6000,V0,7,0
9000,4,4,6060,V0,7,0
9000,4,5,6120,V0,7,0
9000,4,6,6180,V0,7,0
9000,4,7,6240,V0,2,0
9000,4,8,6300,V0,0,0
9000,4,9,6360,V0,20,0
9000,4,10,6420,V0,20,0
9000,4,11,6480,V0,18,0
9000,4,12,6540,V0,1,0
9000,4,13,6600,V0,0,0
9000,4,14,6660,V0,10,0
9000,4,15,6720,V0,0,0
9000,4,16,6780,V0,12,0
9000,4,17,6840,V0,12,0
9000,4,18,6900,V0,0,0
9000,4,19,6960,V0,0,0
9000,4,20,7020,V0,0,0
9000,4,21,7080,V0,0,0
9000,4,22,7140,V0,0,0
9000,4,23,7200,V0,0,0
9000,5,0,7260,V0,0,0
9000,5,1,7320,V0,0,0
9000,5,2,7380,V0,0,0
9000,5,3,7440,V0,0,0
9000,5,4,7500,V0,0,0
9000,5,5,7560,V0,0,0
9000,5,6,7620,V0,0,0
9000,5,7,7680,V0,0,0
9000,5,8,7740,V0,0,0
9000,5,9,7800,V0,0,0
9000,5,10,7860,V0,8,0
9000,5,11,7920,V0,2,0
9000,5,12,7980,V0,4,0
9000,5,13,8040,V0,20,0
9000,5,14,8100,V0,18,0
9000,5,15,8160,V0,11,0
9000,5,16,8220,V0,20,0
9000,5,17,8280,V0,19,0
9000,5,18,8340,V0,12,0
9000,5,19,8400,V0,1,0
9000,5,20,8460,V0,1,0
9000,5,21,8520,V0,1,0
9000,5,22,8580,V0,1,0
9000,5,23,8640,V0,1,0
9000,6,0,8700,V0,1,0
9000,6,1,8760,V0,1,0
9000,6,2,8820,V0,1,0
9000,6,3,8880,V0,1,0
9000,6,4,8940,V0,1,0
9000,6,5,9000,V0,1,0
9000,6,6,9060,V0,1,0
9000,6,7,9120,V0,0,0
9000,6,8,9180,V0,9,0
9000,6,9,9240,V0,7,0
9000,6,10,9300,V0,15,0
9000,6,11,9360,V0,18,0
9000,6,12,9420,V0,13,0
9000,6,13,9480,V0,9,0
9000,6,14,9540,V0,20,0
9000,6,15,9600,V0,10,0
9000,6,16,9660,V0,20,0
9000,6,17,9720,V0,12,0
9000,6,18,9780,V0,20,0
9000,6,19,9840,V0,16,0
9000,6,20,9900,V0,16,0
9000,6,21,9960,V0,16,0
9000,6,22,10020,V0,16,0
9000,6,23,10080,V0,16,0
9000,7,0,10140,V0,16,0
9000,7,1,10200,V0,16,0
9000,7,2,10260,V0,16,0
9000,7,3,10320,V0,16,0
9000,7,4,10380,V0,16,0
9000,7,5,10440,V0,16,0
9000,7,6,10500,V0,16,0
9000,7,7,10560,V0,12,0
9000,7,8,10620,V0,14,0
9000,7,9,10680,V0,0,0
9000,7,10,10740,V0,4,0
9000,7,11,10800,V0,4,0
9000,7,12,10860,V0,12,0
9000,7,13,10920,V0,0,0
9000,7,14,10980,V0,0,0
9000,7,15,11040,V0,0,0
9000,7,16,11100,V0,8,0
9000,7,17,11160,V0,0,0
9000,7,18,11220,V0,1,0
9000,7,19,11280,V0,10,0
9000,7,20,11340,V0,10,0
9000,7,21,11400,V0,10,0
9000,7,22,11460,V0,10,0
9000,7,23,11520,V0,10,0
9000,8,0,11580,V0,10,0
9000,8,1,11640,V0,10,0
9000,8,2,11700,V0,10,0
9000,8,3,11760,V0,10,0
9000,8,4,11820,V0,10,0
9000,8,5,11880,V0,10,0
9000,8,6,11940,V0,10,0
9000,8,7,12000,V0,0,0
9000,8,8,12060,V0,15,0
9000,8,9,12120,V0,5,0
9000,8,10,12180,V0,0,0
9000,8,11,12240,V0,0,0
9000,8,12,12300,V0,14,0
9000,8,13,12360,V0,12,0
9000,8,14,12420,V0,20,0
9000,8,15,12480,V0,0,0
9000,8,16,12540,V0,11,0
9000,8,17,12600,V0,0,0
9000,8,18,12660,V0,8,0
9000,8,19,12720,V0,13,0
9000,8,20,12780,V0,13,0
9000,8,21,12840,V0,13,0
9000,8,22,12900,V0,13,0
9000,8,23,12960,V0,13,0
9000,9,0,13020,V0,13,0
9000,9,1,13080,V0,13,0
9000,9,2,13140,V0,13,0
9000,9,3,13200,V0,13,0
9000,9,4,13260,V0,13,0
9000,9,5,13320,V0,13,0
9000,9,6,13380,V0,13,0
9000,9,7,13440,V0,20,0
9000,9,8,13500,V0,15,0
9000,9,9,13560,V0,6,0
9000,9,10,13620,V0,6,0
9000,9,11,13680,V0,0,0
9000,9,12,13740,V0,12,0
9000,9,13,13800,V0,9,0
9000,9,14,13860,V0,14,0
9000,9,15,13920,V0,13,0
9000,9,16,13980,V0,18,0
9000,9,17,14040,V0,16,0
9000,9,18,14100,V0,12,0
9000,9,19,14160,V0,0,0
9000,9,20,14220,V0,0,0
9000,9,21,14280,V0,0,0
9000,9,22,14340,V0,0,0
9000,9,23,14400,V0,0,0
9000,10,0,14460,V0,0,0
9000,10,1,14520,V0,0,0
9000,10,2,14580,V0,0,0
9000,10,3,14640,V0,0,0
9000,10,4,14700,V0,0,0
9000,10,5,14760,V0,0,0
9000,10,6,14820,V0,0,0
9000,10,7,14880,V0,0,0
9000,10,8,14940,V0,4,0
9000,10,9,15000,V0,2,0
9000,10,10,15060,V0,14,0
9000,10,11,15120,V0,20,0
9000,10,12,15180,V0,4,0
9000,10,13,15240,V0,0,0
9000,10,14,15300,V0,0,0
9000,10,15,15360,V0,0,0
9000,10,16,15420,V0,0,0
9000,10,17,15480,V0,1,0
9000,10,18,15540,V0,0,0
9000,10,19,15600,V0,0,0
9000,10,20,15660,V0,0,0
9000,10,21,15720,V0,0,0
9000,10,22,15780,V0,0,0
9000,10,23,15840,V0,0,0
9000,11,0,15900,V0,0,0
9000,11,1,15960,V0,0,0
9000,11,2,16020,V0,0,0
9000,11,3,16080,V0,0,0
9000,11,4,16140,V0,0,0
9000,11,5,16200,V0,0,0
9000,11,6,16260,V0,0,0
9000,11,7,16320,V0,0,0
9000,11,8,16380,V0,12,0
9000,11,9,16440,V0,0,0
9000,11,10,16500,V0,8,0
9000,11,11,16560,V0,20,0
9000,11,12,16620,V0,19,0
9000,11,13,16680,V0,20,0
9000,11,14,16740,V0,16,0
9000,11,15,16800,V0,1,0
9000,11,16,16860,V0,11,0
9000,11,17,16920,V0,5,0
9000,11,18,16980,V0,5,0
9000,11,19,17040,V0,0,0
9000,11,20,17100,V0,0,0
9000,11,21,17160,V0,0,0
9000,11,22,17220,V0,0,0
9000,11,23,17280,V0,0,0
9000,12,0,17340,V0,0,0
9000,12,1,17400,V0,0,0
9000,12,2,17460,V0,0,0
9000,12,3,17520,V0,0,0
9000,12,4,17580,V0,0,0
9000,12,5,17640,V0,0,0
9000,12,6,17700,V0,0,0
9000,12,7,17760,V0,17,0
9000,12,8,17820,V0,20,0
9000,12,9,17880,V0,20,0
9000,12,10,17940,V0,14,0
9000,12,11,18000,V0,17,0
9000,12,12,18060,V0,6,0
9000,12,13,18120,V0,8,0
9000,12,14,18180,V0,14,0
9000,12,15,18240,V0,6,0
9000,12,16,18300,V0,4,0
9000,12,17,18360,V0,7,0
9000,12,18,18420,V0,9,0
9000,12,19,18480,V0,0,0
9000,12,20,18540,V0,0,0
9000,12,21,18600,V0,0,0
9000,12,22,18660,V0,0,0
9000,12,23,18720,V0,0,0
9000,13,0,18780,V0,0,0
9000,13,1,18840,V0,0,0
9000,13,2,18900,V0,0,0
9000,13,3,18960,V0,0,0
9000,13,4,19020,V0,0,0
9000,13,5,19080,V0,0,0
9000,13,6,19140,V0,0,0
9000,13,7,19200,V0,13,0
9000,13,8,19260,V0,13,0
9000,13,9,19320,V0,3,0
9000,13,10,19380,V0,0,0
9000,13,11,19440,V0,5,0
9000,13,12,19500,V0,0,0
9000,13,13,19560,V0,16,0
9000,13,14,19620,V0,2,0
9000,13,15,19680,V0,7,0
9000,13,16,19740,V0,5,0
9000,13,17,19800,V0,9,0
9000,13,18,19860,V0,18,0
9000,13,19,19920,V0,5,0
9000,13,20,19980,V0,5,0
9000,13,21,20040,V0,5,0
9000,13,22,20100,V0,5,0
9000,13,23,20160,V0,5,0
9000,14,0,20220,V0,5,0
9000,14,1,20280,V0,5,0
9000,14,2,20340,V0,5,0
9000,14,3,20400,V0,5,0
9000,14,4,20460,V0,5,0
9000,14,5,20460,V0,5,0
